open_time,open_price,high_price,low_price,close_price,volume,close_time,quote_asset_volume,taker_buy_asset_volume,taker_buy_quote_volume,number_of_trades,price
1734498900000,103708.33000000,103814.53000000,103656.87000000,103713.75000000,77.28466000,1734499199999,8016199.77585160,38335,42.47080000,4404925.51929380,103711.04000000001
1734499200000,103713.75000000,104125.18000000,103656.88000000,104037.03000000,222.45827000,1734499499999,23122561.67974150,41331,145.92603000,15165224.70871360,103875.39
1734499500000,104037.04000000,104087.72000000,103934.03000000,104043.99000000,84.86954000,1734499799999,8827392.14454310,20800,37.68567000,3919708.36702930,104040.515
1734499800000,104044.00000000,104067.02000000,103888.24000000,103888.25000000,109.43960000,1734500099999,11377698.49577350,24973,27.11910000,2819334.79755850,103966.125
1734500100000,103888.24000000,104095.87000000,103867.15000000,104087.99000000,95.13463000,1734500399999,9893568.32839260,16474,60.00569000,6240720.77578430,103988.115
1734500400000,104087.99000000,104124.38000000,103664.30000000,103772.46000000,228.16289000,1734500699999,23697113.70313480,33031,88.14878000,9149401.66917620,103930.225
1734500700000,103772.45000000,103876.79000000,103656.87000000,103660.00000000,135.06087000,1734500999999,14009961.96169880,31430,65.62519000,6806994.40874950,103716.225
1734501000000,103660.00000000,103660.01000000,103350.00000000,103452.80000000,247.01917000,1734501299999,25566557.13796330,45469,64.31945000,6656821.16042860,103556.4
1734501300000,103452.81000000,103609.37000000,103276.00000000,103572.17000000,158.22193000,1734501599999,16362577.06720210,40085,75.73337000,7834629.36898050,103512.48999999999
1734501600000,103572.16000000,103795.00000000,103484.00000000,103760.63000000,186.05178000,1734501899999,19278105.92053670,36601,91.91439000,9523357.41588950,103666.395
1734501900000,103760.63000000,103941.34000000,103675.28000000,103689.20000000,127.81446000,1734502199999,13266128.33442620,27065,50.63533000,5256322.26180340,103724.91500000001
1734502200000,103689.19000000,103787.79000000,103600.27000000,103787.78000000,68.89370000,1734502499999,7143060.43811530,14358,31.18122000,3233471.55322880,103738.485
1734502500000,103787.78000000,103893.52000000,103762.75000000,103769.54000000,54.83079000,1734502799999,5692376.87858160,16829,27.99578000,2906615.75139360,103778.66
